GRE,AXNOS Paintにようこそ！ツールの使い方を紹介します。
ETC,わたしがお邪魔でしたら[設定]-[マスコット]-[マスコットの表示]をなしにすると非表示にできますよ。
ETC,知りたい部分にポインタを合わせてみてください。
ETC,実はわたしもドラッグで動かせるんですよ。
ETC,白い四角形の範囲がキャンバスになります。ペンを選択した状態でドラッグすると線を描くことができますよ。
ETC,ツールウィンドウは上部をドラッグすると好きな位置に動かすことができるんです。使いやすい配置にしてみてくださいね。
ETC,手に持っているスポイトは何に使うのかって？……ふふふ♡
ETC,赤色の絵の具って素敵ですよね。あなたもそう思いませんか？
ETC,絵の構図が浮かばない、ですか？ そうなんですね 頑張ってくださいねー
ETC,上層レイヤーに主線を描いて、下層レイヤーに色を塗れば、主線を上書きすることなく色塗りができます。基本テクニックですね。
ETC,マウスを使っているなら、マウスホイールの回転でキャンバスを拡大／縮小できますよ！
ETC,精密な作図をしたい時は座標表示が便利です。[設定]-[キャンバス]-[ポインタ座標の表示]を変えてみてください。
ETC,10回描画操作をする度に、自動的にバックアップデータが作成されます。復元したい時は補助ツールの「自動保存から復元」ボタンを使います。
