axp_main_div_headerText,お知らせが表示されるエリアです。内容はサービスによって変化します。
axp_canvas_div_debugInfo,不具合発生時の調査／報告用の機能です。通常は邪魔になるだけなので非表示をおすすめします。
axp_renamelayer_button_close,サブウィンドウを閉じるボタンです。新しいレイヤー名を入力中であってもキャンセルされます。
axp_renamelayer_text_newLayerName,レイヤー名をわかりやすい名前に変更しておけば、レイヤーの数が増えても取り違えのミスが減らせますね。
axp_renamelayer_button_flipH,レイヤー単体を左右反転させたいときはこのボタンを使います。
axp_renamelayer_button_flipV,レイヤー単体を上下反転させたいときはこのボタンを使います。
axp_renamelayer_button_colorReset,レイヤーに付けたカラータグを取り外します。
axp_gridconfig_button_confirm,サブウィンドウを閉じるボタンです。
axp_gridconfig_div_colorPicker,補助線の色を変更します。描く絵によって補助線が溶け込んでしまうような場合は目立つ色に変更してください。
axp_gridconfig_range_gridColor,補助線の不透明度を変更します。主線を不透明に、副線を半透明にすると見やすい補助線になります。
axp_pen,「ペンツール」は描画に関する機能を担当するウィンドウです。
axp_layer,「レイヤー」はキャンバスをいくつかの階層に分割して扱うことができる便利で強力な機能です。
axp_makecolor,「色作成」は描画色を指定したり、新しい色を作成するためのウィンドウです。
axp_palette,「パレット」にはお気に入りの色を保存しておくことができます。登録した色はブラウザを閉じてもちゃんと覚えていますよ。
axp_tool,「補助ツール」は描画以外の補助機能を担当するウィンドウです。
axp_custom,「カスタムボタン」にはあなたが選んだ機能ボタンを自由に配置することができます。[設定]-[カスタムボタン]を見てくださいね。
axpc_window_header_minimizeButton,最小化ボタンを押せば、使わないウィンドウをコンパクトに収納しておくことができます。
axp_layer_select_blendMode,合成モードはレイヤー同士を重ねる際のルールを決めるものです。普段は「通常」のままで大丈夫ですよ。
axp_layer_range_alpha,不透明度を下げるとレイヤーの画像が透明に近づいていき、下層のレイヤーの画像が透けて見えるようになります。使いこなすと面白い効果が出せそうですね。
axp_layer_button_clear,クリアボタンは、現在のレイヤーに描いた画像をすべて消去するボタンです。消しゴムで消すよりずっと早いですね。
axp_layer_button_create,新規ボタンを押すと、現在のレイヤーの上層に新しいレイヤーが作成されます。上層に描かれた画像は下層より優先されて表示されます。
axp_layer_button_integrate,統合ボタンは現在のレイヤーと一つ下のレイヤーを合体させて一つにするボタンです。
axp_layer_button_copy,複製ボタンは、現在のレイヤーのコピーを作成します。
axp_layer_button_delete,削除ボタンは、現在のレイヤーを削除するボタンです。増やしたレイヤーが要らなくなった時に使ってくださいね。
axpc_icon_eyeON,目のボタンを押すと、そのレイヤーの描画内容を一時的に非表示にすることができます。再び表示させるにはもう一度ボタン押してください。
axpc_icon_lockON,錠前のボタンを押すと、そのレイヤーに対する変更を禁止します。うっかり上書きや削除を防止するために使います。
axpc_icon_maskON,市松模様ボタンを押すと、既に絵具が塗られている部分だけ上書きできる特殊な状態になります。簡易的なマスク機能として使うことができます。
axpc_layer_canvas_cellThumbnail,レイヤー毎のサムネイルです。そのレイヤーに描かれている内容が縮小されて表示されます。
axpc_layer_div_cellRightSide,２つ以上のレイヤーがあるとき、ドラッグで位置を入れ替えることができます。ダブルクリックで名前の変更もできますよ。
axp_palette_div_paletteBox,登録済みのパレットです。クリックすると色作成ウィンドウに反映され「描画色」になります。
axp_palette_range_column,パレットを横にいくつ並べるかを指定するスライダーです。ウィンドウの幅も変わりますので使いやすいサイズに調整してくださいね。
axp_palette_button_edit,編集ボタンを押すとウィンドウの色が変わって「編集モード」に切り替わります。パレットの位置入れ替えや削除ができるようになります。
axp_palette_button_addColor,色作成ウィンドウに表示されている現在の描画色をパレットに登録します。50色まで登録できますよ。
axp_palette_button_delete,選択中のパレットを削除するボタンです。削除を取り消すことはできないので気をつけてくださいね。
axp_makecolor_div_mainColor,「メインカラー」です。「メインカラー」「サブカラー」「透明色」の内、赤枠で強調されている色が実際の「描画色」になります。
axp_makecolor_div_subColor,この小さい方が「サブカラー」です。ショートカット[X]で素早くメインカラーと切り替わる他、混色パレットや階調バケツを使うときに活躍します。
axp_makecolor_div_transparent,この市松模様は「透明色」を意味します。透明色で塗ることは消しゴムで消すことと一緒です。バケツで透明色を流し込むこともできますよ。
axp_makecolor_text_colorCode,メインカラーのカラーコードが表示されます。カラーコードを入力して色を作成することもできますよ。
axp_makecolor_button_addColor,現在の描画色をパレットに登録します。パレットウィンドウにある登録ボタンと同じ機能です。
axp_makecolor_button_swapColor,メインカラーとサブカラーの色を入れ替えるボタンです。
axp_makecolor_range_red,赤緑青の光の三原色の強さを指定して色を作成するRGBスライダーです。すべての値を0にすると黒色、255にすると白色になります。
axp_makecolor_number_red,RGBスライダーの値を直接入力することができます。
axp_makecolor_range_green,赤緑青の光の三原色の強さを指定して色を作成するRGBスライダーです。すべての値を0にすると黒色、255にすると白色になります。
axp_makecolor_number_green,RGBスライダーの値を直接入力することができます。
axp_makecolor_range_blue,赤緑青の光の三原色の強さを指定して色を作成するRGBスライダーです。すべての値を0にすると黒色、255にすると白色になります。
axp_makecolor_number_blue,RGBスライダーの値を直接入力することができます。
axp_makecolor_div_colorPicker,カラーピッカーです。好きな位置をクリック、もしくはドラッグしてみてください。直感的に欲しい色が作れますね。
axp_pen_span_penName,現在選択中の画材名がこちらに表示されます。
