@BAS0001,キャンバス：絵を描くメイン画面です。
@BAS0002,設定：各種機能をカスタマイズできます。
@BAS0003,投稿：描いたイラストを掲示板に投稿します。
@BAS0004,拡張機能：ユーザーにより定義された拡張機能を実行します。
@BAS0005,お知らせ領域です。文章が見切れる場合、クリックし続けると全文表示します。
@BAS0006,機能解説などのガイドメッセージが表示されるエリアです。
@BAS0100,デバッグ情報です。非表示にするには[設定]-[バージョン情報]-[デバッグ情報表示]のチェックを外してください。
@LAU0001,一時的にすべてのウィンドウを非表示にします。
@AST0200,書出し・共有機能を表示します。
@AST0201,下絵・資料として参照画像を読み込みます。作品レイヤーには追加されません。
@AST0202,作品レイヤーだけをPSDとして書き出します。参照画像は含めません。
@AST0203,作品キャンバスだけをタイムラプス録画します。参照画像やUIは含めません。
@AST0204,作品キャンバスだけをPNGとしてクリップボードへコピーします。貼り付け読込は行いません。
@AST0205,参照画像の操作を表示します。
@PEN0001,現在選択しているペンの名前が表示されます。
@PEN0002,ペンの不透明度を変更します。0に近づくほど透明になります。
@PEN0003,ペンの太さを変更します。
@PEN0004,境界付近の塗り残しドットを目立たなくします。数字が大きいほど強く補正します。
@PEN0005,グラデーションの向きを角度で指定します。
@PEN0006,トーン濃度を指定します。数字が大きいほど濃くなります。
@PEN0007,図形描画モードを選択できます。
@PEN0008,「囲まれた領域」の判定方式を選択できます。（全レイヤー判定を指定すると表示見たままで判定できます。バケツは塗り分け、マジックワンドは選択に使われます）
@PEN0009,ぼかしの強さを指定します。数字が大きいほど描画する線がぼやけます。
@PEN0010,外側の角の丸さを指定します。50で正円になります。
@PEN0011,効果の縁のかたさを指定します。数字が大きいほど境界がくっきりします。
@PEN0012,ぼかしの広がりを指定します。数字が大きいほど強くぼやけます。
@PEN0013,色を引きずる強さを指定します。数字が大きいほど強く色が引き伸ばされます。
@PEN0014,プリセット：クリックで設定を反映します。ダブルクリックで名前を変更し、現在の硬さ・広がり・引きずりを上書き保存します。
@PEN0015,詳細設定（硬さ・広がり・引きずり・筆圧）の表示／非表示を切り替えます。
@PEN0016,色の許容誤差を指定します。数字が大きいほど近い色も同じ色とみなして塗ります。（アンチエイリアスの境界に残る塗り漏れの軽減に有効）
@PEN0017,選択範囲の合成方法を選択できます。（置換／追加／差し引き／交差）
@PEN0018,現在の選択範囲を解除します。
@PEN0019,グラデーションに新しいストップ（色の変化点）を追加します。
@PEN0020,選択中のストップを削除します。（最低2点は残ります）
@PEN0021,選択中のストップの位置を0〜100%で指定します。
@PEN0022,選択中のストップの色を、現在の描画色に変更します。
@PEN0023,歪み効果の強さを指定します。数字が大きいほど変形量が増えます。
@PEN0024,歪み効果の硬さを指定します。数字が大きいほどブラシ内を均等に変形します。
@PEN0025,スポイトで取得する色の元を選択します。表示色は合成後の見た目、現レイヤーは選択中レイヤーの画素を取得します。
@PEN0050,%1%2 [ 再選択 ]:ペン種別変更。
@PEN0051,%1%2 [ 再選択 ]:消しゴム種別変更。
@PEN0052,%1%2 [ 再選択 ]:バケツ種別変更。
@PEN0053,%1%2 [ 再選択 ]:ツール種別変更。
@PEN0054,%1スポイト：指定座標の色を取得し、描画色（%drawingColorName）に設定します。[ CTRL ]:押している間スポイトに変化。
@PEN0100,%1丸ペン：一定の太さの線が描けるペン。[ SHIFT ]:直線描画。
@PEN0101,%1角ペン：先が四角い線が描けるペン。[ SHIFT ]:直線描画。
@PEN0102,%1ドットペン：ドット絵調の線が描けるペン。[ SHIFT ]:直線描画。
@PEN0103,%1筆ペン：強弱のついた線が描けるペン。
@PEN0104,%1クレヨン：クレヨン風の塗りができるペン。[ SHIFT ]:直線描画。
@PEN0105,%1エアブラシ：エアブラシ風の塗りができるペン。
@PEN0106,%1混色ペン：下の絵をぼかしたり、引きずって混色できるペン。
@PEN0107,%1マーカー：塗り重ねると濃くなる蛍光ペン風のペン。
@PEN0108,%1カーブ：低い不透明度で塗り重なる、柔らかいリボン状の線が描けるペン。
@PEN0109,%1ハッチング：斜めの平行線で階調を表現するペン。
@PEN0110,%1消しゴム：辺が丸い消しゴム。[ SHIFT ]:直線描画。
@PEN0111,%1角消しゴム：辺が四角い消しゴム。[ SHIFT ]:直線描画。
@PEN0112,%1スケッチ：近くの通過点へランダムに線をつなぐ、ラフ画向けのペン。
@PEN0115,%1テクスチャブラシ：紙目のような質感が出るペン。
@PEN0116,%1スムーズペン：速度に応じて先細りする、なめらかな輪郭の線が描けるペン。
@PEN0120,%1バケツ：囲まれた領域の内側を塗り潰します。
@PEN0121,%1階調バケツ：メインカラーとサブカラーのグラデーションで、囲まれた領域の内側を塗り潰します。
@PEN0122,%1マジックワンド：クリックした位置に近い色の範囲を選択します。
@PEN0130,%1ハンド：ドラッグでキャンバスの位置を移動します。[ SPACE ]:押している間ハンドに変化。
@PEN0131,%1移動ツール：画像を上下左右に移動するツール（現在のレイヤーのみ対象）
@PEN0132,%1なげなわ：フリーハンドで囲んだ領域を選択するツール。
@PEN0133,%1多角形選択：クリックで頂点を配置し、始点付近のクリックで確定する選択ツール。
@PEN0134,%1歪み：ブラシでなぞった方向や形に画像を変形します。[ ALT ]:効果を反転。
@INF6000,参照画像を読み込みました。
@INF6001,PSDを書き出しました。
@INF6002,タイムラプス録画を開始しました。
@INF6003,タイムラプス録画を保存しました。
@INF6004,PNGをクリップボードへコピーしました。
@INF6005,キャンバスサイズ変更のため、タイムラプス録画を保存して停止しました。
@CAU6000,参照画像を読み込めませんでした。対応形式または画像サイズを確認してください。
@CAU6001,PSDを書き出せませんでした。未対応の状態がないか確認してください。
@CAU6002,タイムラプス録画を開始または保存できませんでした。このブラウザの録画対応状況を確認してください。
@CAU6003,クリップボードへコピーできませんでした。ブラウザの権限を確認するかPNG保存を使用してください。
@CAU6004,PSDで未対応の合成モードを通常合成に変換して書き出します: %1
@NAG0001,拡縮ノブ：左右にドラッグして選択範囲を拡大縮小します。
@NAG0002,回転ノブ：左右にドラッグして選択範囲を回転します。
@NAG0003,終了：なげなわ選択を確定し、変形結果をレイヤーに反映します。
@NAG0004,反転：選択範囲を左右反転します。
@NAG0005,複製：選択範囲を現在位置にスタンプし、変形を継続します。
@POL0001,確定：多角形選択を確定します。
@POL0002,取消：多角形選択を中止します。
@LQF0001,確定：歪みツールの調整をレイヤーに反映します。
@LQF0002,取消：歪みツールの調整を開始前に戻します。
@PEN0200,%penPreviewGuide
@PEN0201,%1のプレビュー。
@PEN0202,%1の色プレビュー。
@PEN0203,%1の色プレビュー。枠内をドラッグで角度を変更します。
@PEN0204,ポインタ座標の画像を拡大表示します。赤枠の色がスポイトで取得されます。
@PLT0001,カラーパレットの列数を変更します。∞を指定すると常に１行になります。
@PLT0002,パレットの更新／位置入れ替え／削除を行うモードに切り替えます。
@PLT0003,%addPaletteNameの色をカラーパレットに登録します。
@PLT0004,選択しているパレットを削除します。
@LAY0001,レイヤーの合成モードを変更します。詳細はマニュアルを参照してください。
@LAY0002,現在のレイヤーの不透明度を変更します。0を指定すると完全に透明になります。
@LAY0003,%1現在のレイヤーは残したまま、描画内容だけを消去します。
@LAY0004,%1新しいレイヤーを作成します。（最大８枚まで）
@LAY0005,%1現在のレイヤーを１つ下のレイヤーに統合します。統合後は不透明度が100%に調整されます。
@LAY0006,%1現在のレイヤーのコピーを作成します。
@LAY0007,%1現在のレイヤーを削除します。
@LAY0008,描画するレイヤーを選択します。
@LAY0100,レイヤー情報サブウィンドウを閉じます。
@LAY0101,レイヤー名を変更する場合、ここに新しい名前を入力します。（10文字まで）
@LAY0102,レイヤーに付与した色を解除します。（レイヤー名は変更されません）
@LAY0110,レイヤー単体を左右反転します。
@LAY0111,レイヤー単体を上下反転します。
@MKC0001,%1描画色をメインカラーに切り替えます。
@MKC0002,%1描画色をサブカラーに切り替えます。一部の機能で補助的に使用します。%2
@MKC0003,%1描画色を透明色に切り替えます。%2
@MKC0004,カラーコードを直接入力してメインカラーを変更します。
@MKC0005,%addPaletteNameの色をカラーパレットに登録します。
@MKC0006,メインカラーとサブカラーを入れ替えます。
@MKC0007,%drawingColorNameの赤成分を変更します。(0～255)
@MKC0008,赤成分を数値入力します。(0～255)
@MKC0009,%drawingColorNameの緑成分を変更します。(0～255)
@MKC0010,緑成分を数値入力します。(0～255)
@MKC0011,%drawingColorNameの青成分を変更します。(0～255)
@MKC0012,青成分を数値入力します。(0～255)
@MKC0013,%drawingColorNameの色をカラーピッカーで変更します。
@MKC0014,最近使った色の履歴です。クリックで描画色に反映します。
@MKC0015,クロスボウル調色：四隅（左上=メイン／右上=サブ／左下=白／右下=黒）を補間した混色エリアです。クリックまたはドラッグで任意の混色を描画色にします。
@MKC0016,混色ウェットパレット：ドラッグすると現在の描画色を塗り重ねて混色できます。ドラッグせずクリックすると、その場所の色をサンプルして描画色にします。
@MKC0017,ウェットパレットを塗り直します。
@MKC0018,シアン成分を変更します。(0～100)
@MKC0019,シアン成分を数値入力します。(0～100)
@MKC0020,マゼンタ成分を変更します。(0～100)
@MKC0021,マゼンタ成分を数値入力します。(0～100)
@MKC0022,イエロー成分を変更します。(0～100)
@MKC0023,イエロー成分を数値入力します。(0～100)
@MKC0024,キープレート（黒）成分を変更します。(0～100)
@MKC0025,キープレート（黒）成分を数値入力します。(0～100)
@MKC0026,明度(L)を変更します。(0～100)
@MKC0027,明度(L)を数値入力します。(0～100)
@MKC0028,色相a（緑〜赤方向）を変更します。(-128～127)
@MKC0029,色相aを数値入力します。(-128～127)
@MKC0030,色相b（青〜黄方向）を変更します。(-128～127)
@MKC0031,色相bを数値入力します。(-128～127)
@AST0001,キャンバスの大きさ。（※設定で変更可能）
@AST0002,サムネイル表示。枠内をクリックまたはドラッグでキャンバスの位置を移動します。
@AST0003,%1拡大率を１段階縮小します。
@AST0004,%1拡大率・キャンバス位置・回転をリセットします。
@AST0005,%1拡大率を１段階拡大します。
@AST0006,%1直前の描画を取消して元に戻します。
@AST0007,%1アンドゥを取消します。
@AST0008,%1自動バックアップから復元ポイントを選んで再開します。（※現在の描画内容は消去されます）
@AST0009,%1描画内容をブラウザに一時保存し、復元ポイントを作成します。
@AST0010,%1作成した復元ポイントから再開します（※現在の描画内容は消去されます）
@AST0011,%1全レイヤーを左右反転します。
@AST0012,%1全レイヤーを上下反転します。
@AST0013,%1背景色の白地/透明色を切り替えます。（※投稿画像に反映されます）
@AST0014,%1補助線のON/OFFを切り替えます。
@AST0015,補助線の詳細設定ウィンドウを開閉します。
@AST0016,クリックでこのサイズにキャンバスを変更します。（縮小時のみ確認）すばやく2回クリックで登録サイズを変更できます。
@AST0017,背景の地色を肌色と白色で切り替えます。（次回起動時も保持されます）
@AST0020,キャンバス表示を左に45度回転します。
@AST0021,キャンバス表示を右に45度回転します。
@AST0022,つまんで左右に動かすと、キャンバス表示が回転します。
@AST0100,補助線の横方向の分割数を変更します。
@AST0101,補助線の縦方向の分割数を変更します。
@AST0102,縦横の分割数の変更を連動させて同じ値にします。
@AST0103,補助線（主線）の使用を切り替えます。分割数に応じた格子状の線を引きます。
@AST0104,補助線（主線）の色と不透明度を変更します。
@AST0105,補助線（副線）の使用を切り替えます。主線の内部を細分する線を引きます。
@AST0106,補助線（副線）の色と不透明度を変更します。
@AST0107,補助線（斜め）の使用を切り替えます。分割数に応じた斜線を引きます。
@AST0108,補助線（斜め）の色と不透明度を変更します。
@AST0109,補助線（ピクセル指定１）の使用を切り替えます。※表示に適さない拡大率の時、自動的に非表示になります。
@AST0110,補助線（ピクセル指定１）の色と不透明度を変更します。
@AST0111,補助線（ピクセル指定１）のピクセル間隔を変更します。
